"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"786814754530598912","","","2016-10-14 06:23:50 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","alias cd..=""cd .."" &amp;&amp; alias cd...=""cd ..; cd .."" &amp;&amp; alias cd....=""cd ..; cd ..; cd ..""
-- for cd'ing up directories more easily.","","","",""
"786078563283992576","","","2016-10-12 05:38:28 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Purr programming with one of the residents of Regina restaurant in Chiang Mai. https://t.co/f3mP7dAh1s","","","","https://twitter.com/keithrbennett/status/786078563283992576/photo/1"
"785842694966894592","785833523081011200","3948061","2016-10-11 14:01:13 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@elight Yeah, or someone's apartment. ;)  There were several ""rooms"" in this place. Cappuccino was good too, and only 60 baht, about $1.70.","","","",""
"785784094902788096","","","2016-10-11 10:08:22 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","In a quaint Chiang Mai coffee shop. It's frickin' amazing how many creative establishments, especially coffee shops, there are here. https://t.co/87asEauTbp","","","","https://twitter.com/keithrbennett/status/785784094902788096/photo/1"
"785551605542162433","","","2016-10-10 18:44:32 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Found a whole shelf of ""Bennett"" soaps at this Chiang Mai store. Sadly, in Thailand, almost all soaps bill themselves as ""whitening"" soaps. https://t.co/cYtwcFgpnF","","","","https://twitter.com/keithrbennett/status/785551605542162433/photo/1"
"785551038040281088","","","2016-10-10 18:42:16 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Some Thai friends invited me to join them at this night club. There were multiple singers and bands. Many people danced at their tables. https://t.co/CQ4J4g1Q3L","","","","https://twitter.com/keithrbennett/status/785551038040281088/photo/1"
"784754915440680961","","","2016-10-08 13:58:46 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","...but don't worry, I didn't eat the cat! I had this fresh spinach sauteed with garlic, and banana/cocoa/coffee drink. https://t.co/3qVbdzUGQj","","","","https://twitter.com/keithrbennett/status/784754915440680961/photo/1"
"784753008403894272","","","2016-10-08 13:51:11 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","...but I was still hungry so I stopped at this other place for something more... https://t.co/ZL1WdbG3ep","","","","https://twitter.com/keithrbennett/status/784753008403894272/photo/1"
"784706514053238784","","","2016-10-08 10:46:26 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Stopped by a restaurant where the locals eat, near my tai chi school. Khao soy pork with Coke, about $1.15. https://t.co/q8cPn2GIMu","","","","https://twitter.com/keithrbennett/status/784706514053238784/photo/1"
"784186489617780736","","","2016-10-07 00:20:03 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Mango shake *and* mango with sticky rice with my pad see ew pork. Love the fresh fruits and vegetables here. https://t.co/PI2rDjIhfi","","","","https://twitter.com/keithrbennett/status/784186489617780736/photo/1"
"784015699777695748","","","2016-10-06 13:01:23 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","One of my favorite activities in Chiang Mai is the biweekly ""Beercamp"", an evening with tech folks and their partners and friends. https://t.co/hBUnQmrX9u","","","","https://twitter.com/keithrbennett/status/784015699777695748/photo/1"
"781399865695744001","781118936603586560","2487631","2016-09-29 07:47:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@crsexton Thank you!","","","",""
"781351030017536000","","","2016-09-29 04:32:57 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Just rented my motorbike. Waiting in a coffee shop for the rain and thunder to subside before the first ride around town. https://t.co/zuDfwVvYAS","","","","https://twitter.com/keithrbennett/status/781351030017536000/photo/1"
"781334374021144576","","","2016-09-29 03:26:45 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Arriving at my Chiang Mai hotel, my phone chirped at the wifi reconnection &amp; I exclaimed to the staff ""I'm hoooome."" Coconut shake! https://t.co/ik6pdqtOoW","","","","https://twitter.com/keithrbennett/status/781334374021144576/photo/1"
"781049199907508224","","","2016-09-28 08:33:35 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I'm at Incheon airport in Seoul. Great KAL flight; comfortable, aisle seat w/empty seat next to me. Saw great movie: ""Remember"".","","","",""
